epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4763,2.04718,3.17261,1.70531,0.21467,0.22577,0.16391,0.0695,1.96724,3.32629,1.88148,0.000471797,0.000471797,0.000471797
2,37.9918,1.92104,2.63037,1.58999,0.28235,0.334,0.21788,0.1032,2.03662,3.26363,1.99024,0.000929357,0.000929357,0.000929357
3,56.1084,1.90406,2.49367,1.59245,0.56754,0.20911,0.204,0.09175,2.12553,3.39456,2.01273,0.00136805,0.00136805,0.00136805
4,74.4948,1.8826,2.46244,1.60788,0.34643,0.29046,0.25798,0.12974,2.13374,3.16952,2.06076,0.00134412,0.00134412,0.00134412
5,92.0148,1.89785,2.42433,1.62113,0.39549,0.31544,0.25202,0.11896,2.11115,2.97575,2.00358,0.00131582,0.00131582,0.00131582
6,109.381,1.85423,2.29509,1.58281,0.35665,0.33773,0.25821,0.12352,2.03444,2.79032,1.99667,0.00128753,0.00128753,0.00128753
7,126.536,1.82576,2.2881,1.56376,0.31891,0.35891,0.30717,0.1626,2.06428,2.72259,1.99408,0.00125923,0.00125923,0.00125923
8,143.849,1.80046,2.26624,1.55806,0.34575,0.40162,0.29396,0.14617,1.94551,2.54024,1.8778,0.00123094,0.00123094,0.00123094
9,161.033,1.76354,2.16261,1.52718,0.36084,0.45368,0.3448,0.17402,1.96651,2.51329,1.87674,0.00120265,0.00120265,0.00120265
10,179.402,1.74657,2.13266,1.54718,0.31346,0.39616,0.30343,0.15915,1.91752,2.60874,1.85666,0.00117435,0.00117435,0.00117435
11,199.542,1.72179,2.05788,1.49513,0.36224,0.40709,0.30822,0.16111,1.9148,2.53822,1.91925,0.00114606,0.00114606,0.00114606
12,217.206,1.72146,2.01164,1.49829,0.37355,0.44498,0.35333,0.18347,1.86588,2.3941,1.85234,0.00111776,0.00111776,0.00111776
13,236.393,1.68135,1.98528,1.47798,0.5288,0.42501,0.35644,0.19384,1.87622,2.50159,1.88078,0.00108947,0.00108947,0.00108947
14,255.915,1.69434,1.985,1.4794,0.35736,0.46151,0.35877,0.19773,1.8492,2.27763,1.79253,0.00106118,0.00106118,0.00106118
15,274.558,1.68038,1.94199,1.4833,0.42909,0.47427,0.38893,0.21083,1.87107,2.31602,1.77946,0.00103288,0.00103288,0.00103288
16,292.437,1.65416,1.9089,1.45264,0.40669,0.49565,0.39438,0.21165,1.86281,2.27212,1.83384,0.00100459,0.00100459,0.00100459
